exit_date	name	buy_price	buy_date	sell_price	hold_days	ret_pct
2026-03-04	한전산업	17610	2026-02-05	17750	15	0.80
2026-03-04	HD현대에너지솔루션	81600	2026-02-05	78000	15	-4.41
2026-03-04	DB손해보험	159500	2026-02-05	174800	15	9.59
2026-03-04	한화솔루션	42000	2026-02-06	39950	14	-4.88
2026-03-04	ISC	164000	2026-02-06	164100	14	0.06
2026-03-04	삼성전기	426500	2026-02-23	392000	6	-8.09
2026-03-04	보로노이	334500	2026-02-27	307500	2	-8.07
2026-03-04	주성엔지니어링	59000	2026-03-03	54200	1	-8.14
2026-03-04	팬오션	6180	2026-03-03	5680	1	-8.09
2026-03-04	S-Oil	141300	2026-03-03	129900	1	-8.07
2026-03-04	올릭스	194200	2026-03-03	178600	1	-8.03
2026-03-04	인텔리안테크	67700	2026-01-02	100100	39	47.86
2026-03-04	브이엠	41250	2026-02-24	37950	5	-8.00
2026-03-04	LS ELECTRIC	747000	2026-02-24	687000	5	-8.03
2026-03-04	삼성SDI	421000	2026-02-24	387000	5	-8.08
2026-03-04	삼성전자	116800	2025-12-26	172000	42	47.26
2026-03-04	SK하이닉스	649000	2025-12-30	848000	40	30.66
2026-03-03	유진로봇	25500	2026-01-16	32100	28	25.88
2026-03-03	대우건설	10040	2026-02-26	9230	2	-8.07
2026-03-03	한미반도체	321500	2026-02-27	295500	1	-8.09
2026-03-03	제주반도체	26300	2025-12-30	44050	39	67.49
2026-02-27	제노코	23100	2026-01-06	27100	35	17.32
2026-02-27	LX인터내셔널	41450	2026-02-05	42750	13	3.14
2026-02-26	현대지에프홀딩스	18760	2026-02-24	17250	2	-8.05
2026-02-24	루미르	17530	2026-02-02	17210	13	-1.83
2026-02-24	미래에셋증권	70900	2026-02-19	65200	3	-8.04
2026-02-24	RFHIC	63100	2026-02-20	58000	2	-8.08
2026-02-24	부국증권	103400	2026-02-23	95100	1	-8.03
2026-02-23	케어젠	150000	2026-02-20	138000	1	-8.00
2026-02-23	쎄트렉아이	88900	2026-01-02	166200	33	86.95
2026-02-20	켄코아에어로스페이스	20450	2026-01-05	25850	31	26.41
2026-02-20	HEM파마	38000	2025-11-20	81200	60	113.68
2026-02-19	아모센스	11640	2026-01-23	12810	16	10.05
2026-02-06	코스메카코리아	99300	2026-02-02	91300	4	-8.06
2026-02-05	효성티앤씨	413500	2026-02-03	380000	2	-8.10
2026-02-05	에스비비테크	55700	2026-01-13	66300	17	19.03
2026-02-05	파이버프로	12680	2026-01-02	15050	24	18.69
2026-02-05	에이치브이엠	59000	2025-12-29	78500	26	33.05
2026-02-05	한국항공우주	151200	2026-01-09	162000	19	7.14
2026-02-02	삼현	56600	2025-12-22	60300	27	6.54
2026-02-02	현대오토에버	332500	2025-12-30	434000	22	30.53
2026-02-02	에스오에스랩	24850	2026-01-23	22850	6	-8.05
2026-02-02	현대모비스	376000	2025-12-12	436500	33	16.09
2026-01-27	현대위아	69600	2025-12-15	84200	28	20.98
2026-01-23	현대차	549000	2026-01-21	505000	2	-8.01
2026-01-23	현대무벡스	16130	2025-12-22	48700	21	201.92
2026-01-21	원익홀딩스	39650	2025-12-26	41600	16	4.92
2026-01-16	이노스페이스	23600	2026-01-12	21700	4	-8.05
2026-01-13	큐리옥스바이오시스템즈	86500	2025-11-25	98400	32	13.76
2026-01-12	한미반도체	183000	2026-01-06	168300	4	-8.03
2026-01-09	원익IPS	79700	2026-01-02	73300	5	-8.03
2026-01-09	이노스페이스	20300	2026-01-08	18670	1	-8.03
2026-01-08	iM금융지주	15780	2025-12-24	14860	8	-5.83
2026-01-06	클로봇	51600	2025-12-10	57400	16	11.24
2026-01-06	에스피지	63000	2025-11-28	75200	24	19.37
2026-01-05	에이프릴바이오	54900	2025-12-29	50500	3	-8.01
2026-01-02	쓰리빌리언	17830	2025-12-09	16400	15	-8.02
2025-12-26	에스티팜	125000	2025-12-08	120900	13	-3.28
2025-12-26	금호타이어	5830	2025-11-27	5890	20	1.03
2025-12-26	영원무역홀딩스	192700	2025-12-08	191300	13	-0.73
2025-12-24	지노믹트리	30250	2025-12-22	27800	2	-8.10
2025-12-23	에이치브이엠	52200	2025-12-22	48000	1	-8.05
2025-12-18	고영	26200	2025-12-01	24100	13	-8.02
2025-12-18	삼성전기	257000	2025-11-26	255000	16	-0.78
2025-12-18	에스엘	45650	2025-12-05	41950	9	-8.11
2025-12-17	태성	54900	2025-12-15	50500	2	-8.01
