name	code	rs	rs1m	rs3m	rs6m	mmt
KB스타리츠	432320	1	29	1	1	0
젬백스	082270	1	2	0	1	0
대한제분	001130	0	0	0	0	0
한국화장품제조	003350	0	55	0	0	0
포스코스틸리온	058430	0	15	0	0	0
티엠씨	217590	0	3	87	0	0
케이뱅크	279570	0	71	0	0	0
명인제약	317450	0	48	14	7	0
대한조선	439260	0	16	5	50	0
세나테크놀로지	061090	0	91	86	46	0
인화정공	101930	0	7	0	0	0
