code,1m,3m,6m,12m
000020,-2.8475711892797295,-12.38670694864048,-8.661417322834641,-7.790143084260737
000040,-23.41356673960613,-13.366336633663368,-27.685950413223136,-21.700223713646526
000050,-10.01011122345804,-15.15729265967588,25.70621468926553,28.612716763005785
000070,-17.893217893217894,-20.530726256983243,-45.60229445506692,-7.629870129870131
000080,-3.6820572764465265,-8.393551973318514,-12.665606783253846,-14.655618850336616
000087,-5.064194008559197,-7.889273356401382,-12.778505897771952,-13.289902280130296
000100,-11.72122492080253,-25.223613595706617,-32.03252032520325,-23.792160437556976
000105,-12.88343558282209,-26.5770423991727,-36.55049151027703,-28.137651821862352
000120,-16.25857002938296,-38.40057636887608,-9.427966101694917,1.6646848989298357
000140,-7.19738276990185,-13.163265306122451,-15.154536390827522,0.0
000145,-15.86901763224181,-17.121588089330018,-18.99757477768795,-8.241758241758246
000150,15.117891816920936,58.54823304680039,70.25641025641025,411.55624036979964
000155,1.5652173913043521,8.148148148148149,-5.1948051948051965,208.994708994709
000157,-3.9447731755424043,-0.8146639511201648,-11.934900542495475,150.90159711488923
000180,302.77777777777777,227.12915961646925,304.1811846689895,340.0606980273142
000210,-17.220543806646525,9.163346613545809,34.80934809348093,62.61127596439169
000215,-19.36560934891486,-7.471264367816088,-8.867924528301884,21.11334002006018
000220,-2.8037383177570097,-11.395101171458998,-2.0023557126030656,-9.466811751904247
000225,-5.499438832772164,-11.275026343519489,-13.285272914521107,-14.517766497461926
000227,-1.756007393715342,-0.187793427230043,-1.0242085661080091,6.619859578736209
000230,-21.57057654075547,-32.73657289002557,-46.83288409703504,30.41322314049586
000240,-4.36507936507936,-30.447330447330444,-10.74074074074074,57.3107049608355
000250,-11.05263157894737,-47.43390357698289,45.37634408602151,145.10514865844817
000270,3.7247474747474696,-4.365541327124567,39.9488926746167,86.49262202043133
000300,0.0,0.0,111.69354838709675,111.69354838709675
000320,-17.9372197309417,-30.28571428571428,-21.794871794871796,20.553359683794458
000325,-9.591194968553463,-13.66366366366366,-9.4488188976378,-4.006677796327207
